window_start_s,HR_ECG,HR_PulseOx
0,81,74
2,81,74
4,79,73
6,78,73
8,78,73
10,77,73
12,76,73
14,77,75
16,80,76
18,80,76
20,81,76
22,79,76
24,78,77
26,77,78
28,74,79
30,74,79
32,78,78
34,79,77
36,79,78
38,79,78
40,79,78
42,79,79
44,78,79
46,78,79
48,79,79
50,80,79
52,80,78
54,80,79
56,78,79
58,78,79
60,76,80
62,73,79
64,74,79
66,79,79
68,78,79
70,77,78
72,76,79
74,76,78
76,77,78
78,77,77
80,76,77
82,76,76
84,77,77
86,76,76
88,76,76
90,77,76
92,78,76
94,79,76
96,81,77
98,80,77
100,79,77
102,78,78
104,80,79
106,81,79
108,83,79
110,81,80
112,82,80
114,80,81
116,79,82
118,79,82
120,80,81
122,80,80
124,76,79
126,69,80
128,64,80
130,72,79
132,78,78
134,79,78
136,78,78
138,78,77
140,78,78
142,78,78
144,78,78
146,78,78
148,78,77
150,78,77
152,77,78
154,77,78
156,78,78
158,80,77
160,79,78
162,79,79
164,78,79
166,80,78
168,80,79
170,80,79
172,79,79
174,78,80
176,78,79
178,78,79
180,79,79
182,79,78
184,79,78
186,78,79
188,79,78
190,78,79
192,80,79
194,81,78
196,81,78
198,82,79
200,80,79
202,78,79
204,77,80
206,79,80
208,78,81
210,79,81
212,79,80
214,81,80
216,79,79
218,79,79
220,77,79
222,78,79
224,80,78
226,79,78
228,78,78
230,77,78
232,76,78
234,76,78
236,77,77
238,77,76
240,77,76
242,76,76
244,76,76
246,75,77
248,77,76
250,78,76
252,78,76
254,71,76
256,63,77
258,60,77
260,60,78
262,67,77
264,74,76
266,76,75
268,78,75
270,77,75
272,79,76
274,80,77
276,82,78
278,81,78
280,79,79
282,77,80
284,77,80
286,79,79
288,80,79
290,80,79
292,79,79
294,78,80
296,77,80
