window_start_s,HR_ECG,HR_PulseOx
0,104,98
2,102,98
4,98,99
6,96,100
8,96,100
10,97,100
12,95,99
14,96,98
16,98,97
18,99,97
20,99,98
22,97,98
24,97,99
26,98,99
28,93,98
30,93,97
32,92,97
34,97,97
36,98,97
38,97,96
40,95,96
42,96,97
44,98,97
46,99,97
48,99,97
50,99,98
52,97,98
54,97,99
56,97,99
58,97,98
60,92,97
62,89,97
64,91,97
66,95,97
68,98,96
70,98,97
72,98,96
74,99,97
76,97,98
78,99,98
80,99,99
82,98,98
84,98,98
86,96,99
88,95,98
90,95,97
92,96,96
94,96,95
96,97,95
98,98,95
100,98,96
102,99,96
104,100,97
106,100,98
108,102,99
110,104,99
112,105,100
114,104,100
116,104,101
118,103,103
120,102,104
122,102,104
124,98,103
126,93,102
128,90,101
130,96,102
132,102,102
134,102,103
136,101,104
138,102,103
140,101,101
142,99,101
144,95,101
146,95,100
148,96,99
150,98,98
152,99,97
154,100,96
156,100,97
158,101,98
160,100,99
162,98,100
164,96,100
166,98,99
168,99,98
170,98,98
172,96,98
174,97,98
176,97,98
178,97,97
180,97,97
182,96,97
184,96,97
186,96,96
188,95,95
190,93,96
192,94,95
194,95,94
196,95,94
198,95,94
200,94,94
202,95,95
204,96,94
206,96,95
208,98,95
210,100,95
212,99,96
214,99,97
216,99,98
218,99,98
220,100,99
222,102,98
224,101,99
226,101,100
228,101,101
230,101,101
232,96,101
234,95,100
236,96,99
238,97,98
240,98,97
242,99,96
244,100,97
246,101,98
248,100,98
250,97,99
252,95,100
254,89,100
256,82,99
258,77,98
260,79,97
262,86,96
264,97,97
266,99,97
268,98,97
270,99,98
272,98,98
274,98,99
276,99,99
278,99,98
280,98,99
282,99,98
284,99,98
286,95,98
288,99,99
290,99,99
292,100,99
294,100,99
296,99,99
