window_start_s,HR_ECG,HR_PulseOx
0,101,120
2,115,118
4,113,116
6,110,115
8,108,114
10,109,114
12,107,114
14,107,115
16,110,114
18,109,114
20,111,113
22,112,112
24,113,111
26,111,111
28,106,111
30,104,111
32,105,112
34,112,110
36,114,110
38,113,109
40,111,109
42,108,109
44,106,109
46,109,109
48,111,109
50,113,109
52,112,109
54,113,109
56,112,109
58,100,109
60,95,109
62,105,109
64,102,110
66,89,111
68,89,111
70,113,112
72,113,112
74,113,111
76,110,111
78,110,111
80,112,111
82,112,110
84,111,110
86,110,110
88,109,110
90,110,110
92,110,109
94,110,109
96,110,109
98,109,109
100,109,110
102,110,110
104,110,110
106,112,109
108,111,110
110,110,111
112,110,111
114,109,111
116,110,110
118,110,110
120,110,110
122,110,110
124,106,110
126,97,110
128,94,110
130,99,109
132,108,108
134,110,108
136,110,109
138,110,109
140,108,110
142,109,109
144,110,109
146,115,108
148,115,110
150,115,112
152,112,113
154,112,116
156,113,114
158,114,114
160,112,113
162,113,113
164,113,113
166,113,111
168,111,111
170,112,111
172,111,111
174,111,111
176,109,111
178,109,109
180,108,108
182,109,107
184,109,108
186,109,108
188,108,108
190,108,108
192,108,108
194,108,109
196,107,108
198,109,108
200,109,108
202,109,108
204,110,109
206,111,109
208,110,109
210,110,110
212,109,110
214,110,110
216,111,109
218,110,109
220,108,109
222,107,109
224,109,110
226,110,109
228,112,109
230,111,109
232,109,109
234,109,110
236,110,109
238,111,108
240,112,108
242,109,109
244,106,110
246,107,111
248,108,110
250,108,109
252,108,108
254,99,108
256,90,108
258,87,107
260,89,107
262,98,107
264,105,107
266,108,108
268,108,107
270,108,107
272,108,107
274,108,108
276,108,108
278,109,109
280,107,108
282,106,108
284,108,108
286,110,107
288,110,108
290,107,109
292,106,110
294,108,109
296,110,107
