window_start_s,HR_ECG,HR_PulseOx
0,83,77
2,84,77
4,83,77
6,85,77
8,87,77
10,87,77
12,85,77
14,84,77
16,80,77
18,82,77
20,84,77
22,84,78
24,83,79
26,84,80
28,80,81
30,80,82
32,82,83
34,89,83
36,89,84
38,88,85
40,87,86
42,87,87
44,87,88
46,86,88
48,87,88
50,88,87
52,89,87
54,90,87
56,89,88
58,89,88
60,84,89
62,82,89
64,85,89
66,93,88
68,94,88
70,93,89
72,92,90
74,92,91
76,93,92
78,94,92
80,93,92
82,93,92
84,91,93
86,92,93
88,92,93
90,91,92
92,91,92
94,93,91
96,93,91
98,92,92
100,88,92
102,89,92
104,92,91
106,93,90
108,91,89
110,88,89
112,88,90
114,90,90
116,90,89
118,88,89
120,85,89
122,85,89
124,85,88
126,79,87
128,78,87
130,83,87
132,87,88
134,88,89
136,90,89
138,91,89
140,92,89
142,91,90
144,92,91
146,92,91
148,92,91
150,91,92
152,91,92
154,93,91
156,95,91
158,92,92
160,87,93
162,91,94
164,94,93
166,97,92
168,96,91
170,93,92
172,90,94
174,91,95
176,92,94
178,91,93
180,89,92
182,88,92
184,91,91
186,93,90
188,92,90
190,91,90
192,89,91
194,89,92
196,91,91
198,92,90
200,91,90
202,90,91
204,89,91
206,90,91
208,93,90
210,93,89
212,90,90
214,90,91
216,91,92
218,90,92
220,92,92
222,95,91
224,95,90
226,93,90
228,91,92
230,90,93
232,89,94
234,89,93
236,88,92
238,88,90
240,88,90
242,89,89
244,88,88
246,89,88
248,92,88
250,92,88
252,89,88
254,81,89
256,76,90
258,72,90
260,72,90
262,80,90
264,87,89
266,89,88
268,89,88
270,89,89
272,88,89
274,88,89
276,88,89
278,88,89
280,88,88
282,88,89
284,90,89
286,92,89
288,90,90
290,87,91
292,86,90
294,86,90
296,88,89
