window_start_s,HR_ECG,HR_PulseOx
0,114,120
2,113,119
4,109,118
6,109,117
8,111,116
10,110,114
12,107,113
14,107,113
16,107,113
18,106,113
20,105,112
22,105,110
24,105,109
26,104,108
28,100,107
30,102,106
32,102,106
34,105,105
36,103,106
38,103,106
40,102,105
42,102,104
44,101,103
46,101,102
48,100,101
50,99,101
52,99,101
54,99,100
56,100,99
58,100,99
60,94,99
62,91,100
64,92,100
66,99,99
68,99,98
70,99,98
72,98,99
74,98,99
76,98,99
78,98,98
80,97,98
82,97,98
84,95,97
86,96,97
88,98,96
90,101,96
92,101,98
94,98,98
96,96,97
98,98,97
100,99,96
102,98,96
104,97,96
106,97,97
108,98,98
110,98,98
112,97,98
114,99,98
116,100,98
118,96,97
120,91,98
122,89,99
124,88,98
126,84,97
128,82,94
130,88,92
132,93,91
134,95,92
136,95,93
138,94,94
140,95,95
142,94,95
144,93,94
146,94,94
148,95,94
150,94,94
152,92,94
154,91,94
156,92,93
158,92,92
160,93,92
162,92,92
164,92,93
166,92,92
168,91,92
170,91,92
172,92,92
174,93,92
176,93,92
178,93,92
180,93,92
182,93,93
184,94,93
186,94,94
188,95,94
190,96,94
192,96,94
194,95,95
196,95,95
198,95,95
200,94,94
202,93,95
204,93,94
206,93,94
208,94,93
210,94,93
212,94,93
214,94,93
216,93,94
218,94,94
220,94,93
222,93,94
224,91,94
226,91,93
228,91,92
230,91,91
232,91,91
234,90,91
236,89,92
238,89,91
240,89,90
242,89,89
244,90,89
246,90,89
248,90,89
250,92,89
252,90,90
254,83,90
256,76,90
258,72,91
260,74,90
262,80,90
264,86,90
266,88,89
268,88,89
270,89,88
272,91,89
274,91,89
276,92,90
278,93,91
280,93,92
282,92,93
284,91,93
286,91,92
288,92,92
290,92,91
292,93,90
294,93,91
296,93,92
