timestamp_ms,ecg_value
7250,368
7252,63
7253,35
7255,33
7256,35
7257,34
7259,34
7260,35
7261,33
7263,33
7264,32
7265,33
7267,33
7268,37
7269,37
7271,35
7272,38
7273,33
7275,32
7276,29
7277,29
7279,34
7280,32
7282,32
7283,32
7284,33
7286,35
7287,34
7289,32
7290,33
7292,29
7293,32
7295,32
7296,31
7298,30
7299,33
7300,33
7302,29
7303,33
7305,32
7306,31
7308,31
7309,32
7311,33
7312,32
7314,29
7315,32
7317,30
7318,33
7320,33
7321,31
7323,32
7324,33
7326,34
7327,33
7329,34
7330,30
7331,32
7333,30
7334,34
7336,30
7337,31
7339,31
7340,31
7342,32
7343,30
7345,32
7346,30
7348,31
7349,31
7351,31
7353,30
7354,29
7356,29
7358,31
7359,31
7361,29
7363,33
7364,31
7366,33
7368,33
7369,31
7371,33
7372,31
7374,30
7375,31
7377,30
7378,32
7379,32
7381,31
7382,37
7384,33
7385,31
7386,31
7388,32
7390,32
7391,33
7393,32
7394,32
7396,29
7397,32
7399,33
7400,32
7402,32
7403,35
7405,31
7406,33
7408,30
7409,30
7411,33
7412,34
7414,32
7416,29
7417,30
7419,31
7420,30
7422,32
7423,29
7425,33
7426,32
7427,29
7429,32
7431,32
7432,31
7434,31
7435,30
7436,31
7438,32
7439,32
7441,32
7442,30
7444,32
7446,29
7447,33
7448,36
7450,34
7451,32
7453,37
7454,36
7456,30
7457,36
7459,38
7460,33
7462,35
7463,38
7465,33
7466,37
7468,38
7469,34
7471,48
7472,48
7474,33
7475,39
7477,38
7478,34
7480,39
7481,38
7483,33
7484,41
7486,42
7488,31
7489,42
7491,39
7492,31
7494,36
7495,38
7497,31
7498,41
7500,36
7501,28
7503,37
7504,36
7506,31
7507,35
7509,38
7510,30
7512,38
7513,39
7515,31
7517,35
7518,37
7520,32
7521,38
7523,41
7524,32
7526,37
7527,40
7529,33
7530,39
7532,37
7533,32
7534,36
7536,42
7538,31
7539,33
7541,37
7543,36
7545,35
7546,35
7548,32
7549,36
7550,37
7552,32
7553,35
7555,35
7556,33
7558,36
7559,37
7561,30
7562,36
7564,38
7566,31
7567,35
7569,38
7570,29
7571,36
7573,34
7574,27
7576,36
7577,35
7579,31
7580,38
7581,38
7583,31
7584,37
7586,35
7587,31
7589,37
7590,35
7592,31
7593,38
7595,41
7596,34
7598,36
7599,37
7601,30
7602,36
7604,36
7605,32
7607,38
7608,39
7610,33
7611,38
7613,39
7614,34
7616,36
7617,39
7619,32
7620,41
7622,37
7623,32
7625,43
7626,39
7628,31
7629,37
7630,39
7632,32
7633,36
7635,37
7636,32
7638,37
7639,39
7641,32
7642,35
7644,38
7645,34
7647,33
7648,32
7650,34
7651,33
7652,32
7654,32
7655,36
7657,32
7658,45
7660,37
7662,38
7663,37
7664,34
7666,35
7667,34
7668,31
7670,40
7671,48
7672,38
7674,35
7675,42
7676,45
7678,42
7679,48
7681,48
7682,36
7684,43
7685,48
7686,42
7688,44
7689,47
7691,39
7692,45
7694,48
7695,41
7697,48
7698,45
7699,35
7701,43
7702,54
7704,45
7705,40
7707,39
7708,30
7709,38
7711,33
7712,29
7713,37
7715,38
7716,31
7718,39
7719,36
7720,29
7722,37
7723,37
7725,32
7726,32
7728,34
7729,31
7730,38
7732,38
7733,31
7735,37
7736,38
7737,30
7739,37
7740,38
7742,30
7743,37
7744,37
7746,32
7747,37
7748,35
7750,30
7751,37
7752,37
7753,30
7755,31
7756,31
7757,31
7759,29
7760,29
7761,31
7762,27
7764,30
7765,26
7767,31
7768,29
7769,29
7770,30
7772,27
7773,30
7774,29
7775,30
7776,30
7778,30
7779,29
7780,31
7781,30
7782,31
7783,32
7784,32
7785,32
7786,33
7787,32
7789,33
7790,31
7792,32
7793,29
7794,29
7795,31
7797,29
7797,30
7798,31
7799,33
7801,31
7802,30
7803,32
7804,32
7805,31
7807,31
7808,32
7809,33
7810,32
7811,33
7812,31
7813,33
7814,31
7815,30
7816,33
7817,32
7818,31
7819,29
7820,29
7821,31
7821,32
7822,31
7823,29
7823,30
7824,29
7825,27
7826,33
7827,32
7828,30
7828,33
7829,32
7830,30
7831,30
7832,27
7833,28
7834,31
7835,30
7836,30
7836,29
7837,29
7838,29
7838,32
7839,26
7840,28
7840,32
7841,29
7842,29
7843,30
7844,29
7844,27
7845,29
7846,29
7846,29
7847,30
7848,31
7849,29
7849,29
7850,29
7851,30
7852,30
7852,30
7853,31
7854,28
7855,29
7855,30
7856,32
7857,31
7857,32
7858,31
7859,32
7860,29
7860,30
7861,31
7862,32
7862,34
7863,32
7864,32
7865,30
7866,29
7867,32
7868,33
7868,29
7869,30
7870,30
7871,29
7871,29
7872,32
7873,38
7873,42
7874,44
7875,47
7876,39
7876,33
7877,29
7878,32
7878,29
7879,32
7880,30
7881,30
7882,32
7883,31
7883,33
7884,29
7885,34
7886,30
7887,27
7887,27
7888,30
7889,29
7890,27
7890,30
7891,28
7892,26
7892,27
7893,30
7894,27
7894,29
7895,26
7896,29
7897,27
